"cause","effect"
"ACTR2","ACTG1"
"ACTR2","ACTG1"
"ACTR2","ARPC1B"
"ACTR2","ARPC1B"
"ACTR2","ARPC4"
"ACTR2","ARPC4"
"ACTR2","ARPC4-TTLL3"
"ACTR2","ARPC4-TTLL3"
"ACTR2","CDC42"
"ACTR2","CDC42"
"ACTR2","CFL1"
"ACTR2","CFL1"
"ACY1","ABHD14A-ACY1"
"ACY1","ABHD14A-ACY1"
"ADAM10","ADAM17"
"ADAM10","ADAM17"
"ADAM10","APH1A"
"ADAM10","APH1A"
"ADAM10","BAK1"
"ADAM10","BAK1"
"ADAM10","BAX"
"ADAM10","BAX"
"ADAM10","C6"
"ADAM10","C6"
"ADAM10","C7"
"ADAM10","C7"
"ADAM10","CDH1"
"ADAM10","CDH1"
"ADAM10","EFNA3"
"ADAM10","EFNA3"
"ADAM10","EPHA1"
"ADAM10","EPHA1"
"ADAM10","EPHA2"
"ADAM10","EPHA2"
"ADAM10","EPHB2"
"ADAM10","EPHB2"
"ADAM10","IGSF8"
"ADAM10","IGSF8"
"ADAM10","JUP"
"ADAM10","JUP"
"ADAM10","NCSTN"
"ADAM10","NCSTN"
"ADAM10","PSENEN"
"ADAM10","PSENEN"
"ADAM10","VDAC1"
"ADAM10","VDAC1"
"ADAM11","KANSL1L"
"ADAM11","KANSL1L"
"ADAM11","LGI3"
"ADAM11","LGI3"
"ADAM17","NRG2"
"ADAM17","NRG2"
"ADAM17","RHBDF2"
"ADAM17","RHBDF2"
"ADAM17","TNF"
"ADAM17","TNF"
"ADAMTS1","ADAMTS15"
"ADAMTS1","ADAMTS15"
"ADAMTS1","ADAMTS5"
"ADAMTS1","ADAMTS5"
"ADAMTS1","ADAMTS6"
"ADAMTS1","ADAMTS6"
"ADAMTS1","ADAMTS9"
"ADAMTS1","ADAMTS9"
"ADAMTS1","ADAMTSL3"
"ADAMTS1","ADAMTSL3"
"ADAMTS1","SBSPON"
"ADAMTS1","SBSPON"
"ADAMTS1","SPON1"
"ADAMTS1","SPON1"
"ADAMTS1","THSD7A"
"ADAMTS1","THSD7A"
"ADAMTS10","ADAMTS1"
"ADAMTS10","ADAMTS1"
"ADAMTS10","ADAMTS13"
"ADAMTS10","ADAMTS13"
"ADAMTS10","ADAMTS15"
"ADAMTS10","ADAMTS15"
"ADAMTS10","ADAMTS5"
"ADAMTS10","ADAMTS5"
"ADAMTS10","ADAMTS6"
"ADAMTS10","ADAMTS6"
"ADAMTS10","ADAMTS9"
"ADAMTS10","ADAMTS9"
"ADAMTS10","ADAMTSL3"
"ADAMTS10","ADAMTSL3"
"ADAMTS10","ADAMTSL4"
"ADAMTS10","ADAMTSL4"
"ADAMTS10","SBSPON"
"ADAMTS10","SBSPON"
"ADAMTS10","SPON1"
"ADAMTS10","SPON1"
"ADAMTS10","THSD7A"
"ADAMTS10","THSD7A"
"ADAMTS13","THSD7A"
"ADAMTS13","THSD7A"
"ADAMTS15","ADAMTS13"
"ADAMTS15","ADAMTS13"
"ADAMTS15","ADAMTS6"
"ADAMTS15","ADAMTS6"
"ADAMTS15","ADAMTS9"
"ADAMTS15","ADAMTS9"
"ADAMTS15","ADAMTSL4"
"ADAMTS15","ADAMTSL4"
"ADAMTS15","SPON1"
"ADAMTS15","SPON1"
"ADAMTS17","ADAMTS10"
"ADAMTS17","ADAMTS10"
"ADAMTS17","ADAMTS13"
"ADAMTS17","ADAMTS13"
"ADAMTS17","ADAMTSL3"
"ADAMTS17","ADAMTSL3"
"ADAMTS17","SBSPON"
"ADAMTS17","SBSPON"
"ADAMTS17","SPON1"
"ADAMTS17","SPON1"
"ADAMTS17","THSD7A"
"ADAMTS17","THSD7A"
"ADAMTS19","ADAMTS1"
"ADAMTS19","ADAMTS1"
"ADAMTS19","ADAMTS13"
"ADAMTS19","ADAMTS13"
"ADAMTS19","ADAMTSL3"
"ADAMTS19","ADAMTSL3"
"ADAMTS19","ADAMTSL4"
"ADAMTS19","ADAMTSL4"
"ADAMTS19","SBSPON"
"ADAMTS19","SBSPON"
"ADAMTS19","SPON1"
"ADAMTS19","SPON1"
"ADAMTS19","THSD7A"
"ADAMTS19","THSD7A"
"ADAMTS20","SPON1"
"ADAMTS20","SPON1"
"ADAMTS5","ACAN"
"ADAMTS5","ACAN"
"ADAMTS5","ADAMTS15"
"ADAMTS5","ADAMTS15"
"ADAMTS5","ADAMTS6"
"ADAMTS5","ADAMTS6"
"ADAMTS5","ADAMTS9"
"ADAMTS5","ADAMTS9"
"ADAMTS5","ADAMTSL3"
"ADAMTS5","ADAMTSL3"
"ADAMTS5","ADAMTSL4"
"ADAMTS5","ADAMTSL4"
"ADAMTS5","SBSPON"
"ADAMTS5","SBSPON"
"ADAMTS5","SPON1"
"ADAMTS5","SPON1"
"ADAMTS5","THSD7A"
"ADAMTS5","THSD7A"
"ADAMTS6","ADAMTS9"
"ADAMTS6","ADAMTS9"
"ADAMTS6","SPON1"
"ADAMTS6","SPON1"
"ADAMTS6","THSD7A"
"ADAMTS6","THSD7A"
"ADAMTS8","ADAMTS1"
"ADAMTS8","ADAMTS1"
"ADAMTS8","ADAMTS10"
"ADAMTS8","ADAMTS10"
"ADAMTS8","ADAMTS13"
"ADAMTS8","ADAMTS13"
"ADAMTS8","ADAMTS17"
"ADAMTS8","ADAMTS17"
"ADAMTS8","ADAMTS19"
"ADAMTS8","ADAMTS19"
"ADAMTS8","ADAMTS20"
"ADAMTS8","ADAMTS20"
"ADAMTS8","ADAMTS5"
"ADAMTS8","ADAMTS5"
"ADAMTS8","ADAMTS6"
"ADAMTS8","ADAMTS6"
"ADAMTS8","ADAMTS9"
"ADAMTS8","ADAMTS9"
"ADAMTS8","ADAMTSL3"
"ADAMTS8","ADAMTSL3"
"ADAMTS8","COL18A1"
"ADAMTS8","COL18A1"
"ADAMTS8","SBSPON"
"ADAMTS8","SBSPON"
"ADAMTS8","SPON1"
"ADAMTS8","SPON1"
"ADAMTS8","THSD7A"
"ADAMTS8","THSD7A"
"ADAMTS9","SPON1"
"ADAMTS9","SPON1"
"ADAMTSL3","ADAMTS15"
"ADAMTSL3","ADAMTS15"
"ADAMTSL3","ADAMTS20"
"ADAMTSL3","ADAMTS20"
"ADAMTSL3","ADAMTS6"
"ADAMTSL3","ADAMTS6"
"ADAMTSL3","ADAMTS9"
"ADAMTSL3","ADAMTS9"
"ADAMTSL3","ADAMTSL4"
"ADAMTSL3","ADAMTSL4"
"ADAMTSL3","SBSPON"
"ADAMTSL3","SBSPON"
"ADAMTSL3","SPON1"
"ADAMTSL3","SPON1"
"ADAMTSL3","THSD7A"
"ADAMTSL3","THSD7A"
"ADAMTSL4","ADAMTS13"
"ADAMTSL4","ADAMTS13"
"ADAMTSL4","ADAMTS6"
"ADAMTSL4","ADAMTS6"
"ADAMTSL4","ADAMTS9"
"ADAMTSL4","ADAMTS9"
"ADAMTSL4","SPON1"
"ADAMTSL4","SPON1"
"ADCY2","ADCY5"
"ADCY2","ADCY5"
"ADCY2","ADRA2C"
"ADCY2","ADRA2C"
"ADCY2","CAMK2A"
"ADCY2","CAMK2A"
"ADCY2","GNAZ"
"ADCY2","GNAZ"
"ADCY2","GNG5"
"ADCY2","GNG5"
"ADCY2","PDE1A"
"ADCY2","PDE1A"
"ADCY2","PDE1C"
"ADCY2","PDE1C"
"ADCY2","PDE3A"
"ADCY2","PDE3A"
"ADCY2","PDE4D"
"ADCY2","PDE4D"
"ADCY2","PDE5A"
"ADCY2","PDE5A"
"ADCY4","ADCY2"
"ADCY4","ADCY2"
"ADCY4","ADCY5"
"ADCY4","ADCY5"
"ADCY4","EDNRA"
"ADCY4","EDNRA"
"ADCY4","GNAL"
"ADCY4","GNAL"
"ADCY4","GNAZ"
"ADCY4","GNAZ"
"ADCY4","PDE1A"
"ADCY4","PDE1A"
"ADCY4","PDE1C"
"ADCY4","PDE1C"
"ADCY4","PDE2A"
"ADCY4","PDE2A"
"ADCY4","PDE3A"
"ADCY4","PDE3A"
"ADCY4","PDE4D"
"ADCY4","PDE4D"
"ADCY4","PDE5A"
"ADCY4","PDE5A"
"ADCY4","RAPGEF3"
"ADCY4","RAPGEF3"
"ADCY5","GNAZ"
"ADCY5","GNAZ"
"ADCY9","ADCY2"
"ADCY9","ADCY2"
"ADCY9","ADCY4"
"ADCY9","ADCY4"
"ADCY9","ADCY5"
"ADCY9","ADCY5"
"ADCY9","EDNRA"
"ADCY9","EDNRA"
"ADCY9","GNAI3"
"ADCY9","GNAI3"
"ADCY9","GNAL"
"ADCY9","GNAL"
"ADCY9","GNAZ"
"ADCY9","GNAZ"
"ADCY9","GNG7"
"ADCY9","GNG7"
"ADCY9","PDE1A"
"ADCY9","PDE1A"
"ADCY9","PDE1C"
"ADCY9","PDE1C"
"ADCY9","PDE2A"
"ADCY9","PDE2A"
"ADCY9","PDE3A"
"ADCY9","PDE3A"
"ADCY9","PDE4D"
"ADCY9","PDE4D"
"ADCY9","PDE5A"
"ADCY9","PDE5A"
"ADCYAP1","ADCYAP1R1"
"ADCYAP1","ADCYAP1R1"
"ADH1A","ADH1B"
"ADH1A","ADH1B"
"ADH1A","ADHFE1"
"ADH1A","ADHFE1"
"ADH1A","AOX1"
"ADH1A","AOX1"
"ADH1A","GSTM2"
"ADH1A","GSTM2"
"ADH1A","GSTM5"
"ADH1A","GSTM5"
"ADH1A","UGT2B28"
"ADH1A","UGT2B28"
"ADH1B","ADHFE1"
"ADH1B","ADHFE1"
"ADH1B","ALDH1B1"
"ADH1B","ALDH1B1"
"ADH1B","AOX1"
"ADH1B","AOX1"
"ADH1B","CYP2E1"
"ADH1B","CYP2E1"
"ADH1B","CYP2U1"
"ADH1B","CYP2U1"
"ADH1B","GSTP1"
"ADH1B","GSTP1"
"ADH1B","MAOB"
"ADH1B","MAOB"
"ADHFE1","ALDH6A1"
"ADHFE1","ALDH6A1"
"ADHFE1","LDHA"
"ADHFE1","LDHA"
"ADK","ADORA3"
"ADK","ADORA3"
"ADK","AK2"
"ADK","AK2"
"ADK","AK4"
"ADK","AK4"
"ADK","APRT"
"ADK","APRT"
