"Name","K","Kin","Kout","TypeI","TypeII"
"SCN3B",12,9,3,0,1
"ASPM",132,86,46,0,1
"AURKB",157,70,87,0,1
"BUB1",162,61,101,0,1
"CCNA2",177,53,124,0,1
"CD2AP",15,12,3,0,1
"CDC25C",78,37,41,0,1
"CDCA8",140,101,39,0,1
"KIF15",103,53,50,0,1
"SHCBP1",57,28,29,0,1
"TTK",135,89,46,0,1
"TYMS",104,56,48,0,1
"ZWINT",96,67,29,0,1
"HSPA8",61,56,5,0,1
"ARF6",19,7,12,0,1
"CALR",38,18,20,0,1
"HSPG2",30,20,10,0,1
"APOBEC3B",6,2,4,0,1
"TOMM40",23,17,6,0,1
"PLIN1",9,3,6,0,1
"KDELR1",20,14,6,0,1
"RAC1",66,28,38,0,1
"ITGA8",25,14,11,0,1
"MET",21,7,14,0,1
"NME1",26,12,14,0,1
"RAC3",21,8,13,0,1
"ARHGEF9",4,1,3,0,1
"PSMB2",50,36,14,0,1
"FCGR1A",15,8,7,0,1
"KCTD7",3,1,2,0,1
"CHAF1B",28,17,11,0,1
"FEN1",96,43,53,0,1
"HIST1H3D",40,25,15,0,1
"PCNA",109,83,26,0,1
"RAD51",103,79,24,0,1
"STIL",33,23,10,0,1
"SMC4",83,49,34,0,1
"BLM",65,29,36,0,1
"DNA2",47,22,25,0,1
"RAD52",32,18,14,0,1
"RFC3",77,59,18,0,1
"ATG7",14,9,5,0,1
"ATOX1",7,6,1,0,1
"PLA2G6",7,3,4,0,1
"PRKG1",23,15,8,0,1
"PLN",10,4,6,0,1
"NDUFS5",24,18,6,0,1
"HDAC4",10,3,7,0,1
"CCNB1",191,27,164,0,1
"GMNN",71,12,59,0,1
"NDC80",140,24,116,0,1
"PRIM1",75,48,27,0,1
"UBE2N",33,14,19,0,1
"CASC5",58,29,29,0,1
"ERCC6L",32,17,15,0,1
"KLHL13",5,4,1,0,1
"PPP1CA",42,22,20,0,1
"STMN1",9,8,1,0,1
"CSPG4",16,8,8,0,1
"B4GALT1",11,6,5,0,1
"BAG2",7,3,4,0,1
"HSPA1B",19,14,5,0,1
"HSPA5",59,30,29,0,1
"BANF1",12,5,7,0,1
"SNRPD2",68,37,31,0,1
"BCL2L1",33,11,22,0,1
"CYCS",37,13,24,0,1
"NTRK3",12,5,7,0,1
"SFN",29,17,12,0,1
"BBS1",7,3,4,0,1
"WDR19",5,3,2,0,1
"CEBPD",3,2,1,0,1
"BEGAIN",3,2,1,0,1
"BGN",16,6,10,0,1
"BIN1",8,3,5,0,1
"MAPT",28,14,14,0,1
"RMI1",32,9,23,0,1
"ISG15",29,23,6,0,1
"MX1",29,24,5,0,1
"CDC7",48,42,6,0,1
"SNRPE",78,63,15,0,1
"MRPL37",31,19,12,0,1
"NIP7",54,10,44,0,1
"PUS1",12,11,1,0,1
"DHCR7",15,8,7,0,1
"C1GALT1C1",7,2,5,0,1
"SLC39A9",6,3,3,0,1
"C4A",14,9,5,0,1
"CD34",21,12,9,0,1
"CACNA1H",15,4,11,0,1
"TRPC4",6,4,2,0,1
"LMOD1",11,5,6,0,1
"P4HB",32,15,17,0,1
"CAMK2G",8,3,5,0,1
"NRXN1",15,13,2,0,1
"DSP",10,7,3,0,1
"TXN",22,15,7,0,1
"CCDC40",6,3,3,0,1
"PSMD14",57,49,8,0,1
"PSMD2",48,26,22,0,1
"UCHL5",33,19,14,0,1
"CCR8",16,9,7,0,1
"CXCL10",29,11,18,0,1
"CSF2",22,9,13,0,1
"CXCL8",25,9,16,0,1
"IL1B",23,5,18,0,1
"NOP10",25,14,11,0,1
"TEN1-CDK3",19,17,2,0,1
"TERT",33,13,20,0,1
"WRAP53",19,13,6,0,1
"PRKAR2B",21,4,17,0,1
"RCC1",21,14,7,0,1
"YWHAG",20,8,12,0,1
"PSMB10",36,20,16,0,1
"PSMB5",40,26,14,0,1
"HSP90B1",34,13,21,0,1
"ILF2",18,13,5,0,1
"PFDN2",18,15,3,0,1
"VBP1",20,9,11,0,1
"HSPH1",18,10,8,0,1
"CD163",13,7,6,0,1
"PROM1",7,5,2,0,1
"HLA-DRA",19,11,8,0,1
"CD80",24,3,21,0,1
"ITGA5",34,8,26,0,1
"FGFR1",28,23,5,0,1
"GFRA1",12,4,8,0,1
"IGF1",39,18,21,0,1
"PKP3",12,5,7,0,1
"GADD45GIP1",30,16,14,0,1
"POLR2K",23,16,7,0,1
"CDS1",4,2,2,0,1
