"cause","effect"
"ACTA1","FLNA"
"ACTA1","FLNA"
"ACTA1","GSN"
"ACTA1","GSN"
"ACTA1","LAMA2"
"ACTA1","LAMA2"
"ACTA1","MYH11"
"ACTA1","MYH11"
"ACTA1","TNNC2"
"ACTA1","TNNC2"
"ACTA1","UTRN"
"ACTA1","UTRN"
"ACTA1","VEGFA"
"ACTA1","VEGFA"
"ACTA1","WAS"
"ACTA1","WAS"
"ACTA2","MAML2"
"ACTA2","MAML2"
"ACTA2","MYH14"
"ACTA2","MYH14"
"ACTA2","MYL6B"
"ACTA2","MYL6B"
"ACTA2","PECAM1"
"ACTA2","PECAM1"
"ACTB","ACTA1"
"ACTB","ACTA1"
"ACTB","ACTG1"
"ACTB","ACTG1"
"ACTB","ACTN1"
"ACTB","ACTN1"
"ACTB","ACTN2"
"ACTB","ACTN2"
"ACTB","ACTR2"
"ACTB","ACTR2"
"ACTB","AIF1"
"ACTB","AIF1"
"ACTB","ANXA1"
"ACTB","ANXA1"
"ACTB","B2M"
"ACTB","B2M"
"ACTB","BDNF"
"ACTB","BDNF"
"ACTB","CAP1"
"ACTB","CAP1"
"ACTB","CASP1"
"ACTB","CASP1"
"ACTB","CASP8"
"ACTB","CASP8"
"ACTB","CCT4"
"ACTB","CCT4"
"ACTB","CD44"
"ACTB","CD44"
"ACTB","CDC42"
"ACTB","CDC42"
"ACTB","CDKN1A"
"ACTB","CDKN1A"
"ACTB","CHEK1"
"ACTB","CHEK1"
"ACTB","CLIC4"
"ACTB","CLIC4"
"ACTB","CORO1C"
"ACTB","CORO1C"
"ACTB","CUL4B"
"ACTB","CUL4B"
"ACTB","CYBB"
"ACTB","CYBB"
"ACTB","CYFIP1"
"ACTB","CYFIP1"
"ACTB","DIAPH1"
"ACTB","DIAPH1"
"ACTB","DMD"
"ACTB","DMD"
"ACTB","DYNC1I2"
"ACTB","DYNC1I2"
"ACTB","ENAH"
"ACTB","ENAH"
"ACTB","EZR"
"ACTB","EZR"
"ACTB","FLNA"
"ACTB","FLNA"
"ACTB","GFAP"
"ACTB","GFAP"
"ACTB","GSN"
"ACTB","GSN"
"ACTB","GTF2A1"
"ACTB","GTF2A1"
"ACTB","HIST1H4E"
"ACTB","HIST1H4E"
"ACTB","HIST1H4H"
"ACTB","HIST1H4H"
"ACTB","IL10"
"ACTB","IL10"
"ACTB","ITGA4"
"ACTB","ITGA4"
"ACTB","ITGA6"
"ACTB","ITGA6"
"ACTB","ITGAM"
"ACTB","ITGAM"
"ACTB","ITGB1"
"ACTB","ITGB1"
"ACTB","LCP1"
"ACTB","LCP1"
"ACTB","LIMS1"
"ACTB","LIMS1"
"ACTB","MAP1LC3A"
"ACTB","MAP1LC3A"
"ACTB","MAP2"
"ACTB","MAP2"
"ACTB","MCL1"
"ACTB","MCL1"
"ACTB","MMP9"
"ACTB","MMP9"
"ACTB","MSN"
"ACTB","MSN"
"ACTB","MYH11"
"ACTB","MYH11"
"ACTB","MYL6B"
"ACTB","MYL6B"
"ACTB","MYO1A"
"ACTB","MYO1A"
"ACTB","MYO1B"
"ACTB","MYO1B"
"ACTB","MYO5A"
"ACTB","MYO5A"
"ACTB","NCK1"
"ACTB","NCK1"
"ACTB","NF1"
"ACTB","NF1"
"ACTB","PECAM1"
"ACTB","PECAM1"
"ACTB","PGK1"
"ACTB","PGK1"
"ACTB","POLE3"
"ACTB","POLE3"
"ACTB","POLR1B"
"ACTB","POLR1B"
"ACTB","PTEN"
"ACTB","PTEN"
"ACTB","PTPRC"
"ACTB","PTPRC"
"ACTB","RDX"
"ACTB","RDX"
"ACTB","RPLP0"
"ACTB","RPLP0"
"ACTB","SYNPO"
"ACTB","SYNPO"
"ACTB","TLR4"
"ACTB","TLR4"
"ACTB","TMSB4X"
"ACTB","TMSB4X"
"ACTB","TPM3"
"ACTB","TPM3"
"ACTB","UBC"
"ACTB","UBC"
"ACTB","UCHL5"
"ACTB","UCHL5"
"ACTB","VEGFA"
"ACTB","VEGFA"
"ACTB","WAS"
"ACTB","WAS"
"ACTB","WASF2"
"ACTB","WASF2"
"ACTB","WIPF1"
"ACTB","WIPF1"
"ACTB","XIAP"
"ACTB","XIAP"
"ACTB","YWHAZ"
