"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"TMED9",1.71545189361089,6.83798376599713,17.6395319074481,2.96299322449427e-56,1.49305293109935e-55,116.850122482788,"UP"
"HYOU1",1.82932096419249,6.9731464541866,17.6388124853185,2.98780118319024e-56,1.50495776201381e-55,116.847187004425,"UP"
"ADARB1",-2.07434970971248,4.69898085437239,-17.6410533502741,2.91120439233409e-56,1.46724701373638e-55,116.807783316784,"DOWN"
"C1QTNF9B-AS1",1.46609847877475,-1.46525779932213,17.6253979143904,3.49029760337876e-56,1.75702244068822e-55,116.764818353155,"UP"
"RP5-1024G6.5",1.46912377991227,-2.04895514744063,17.620909826551,3.67659608879224e-56,1.84970791958767e-55,116.718357294171,"UP"
"SNX29P2",-1.73063330852149,-0.772024083260368,-17.6220722762525,3.62741125675737e-56,1.82532367154979e-55,116.71598619937,"DOWN"
"AQP7P4",-2.40477149012181,-5.16785583178823,-17.623964033178,3.54876915031366e-56,1.78610386422352e-55,116.713295001414,"DOWN"
"TIAF1",-1.70637519807421,2.44397010159715,-17.6271309125878,3.42091098756853e-56,1.72243375777635e-55,116.68140851553,"DOWN"
"RP11-950C14.10",-1.56005338788922,-2.73329618828199,-17.6165392953285,3.86755207589335e-56,1.94462535431919e-55,116.677887140247,"DOWN"
"C11orf98",1.47855848156096,4.69588710775931,17.6281755626787,3.37975193311725e-56,1.70204681839534e-55,116.664092983394,"UP"
"ZNF829",-1.85293176672396,0.23304030977378,-17.6195742008362,3.73393087656919e-56,1.87818198953437e-55,116.659983238473,"DOWN"
"USP6",-2.02714513614521,-0.256318485142187,-17.6129876378612,4.03000000289196e-56,2.02550474079001e-55,116.597766619778,"DOWN"
"SOX2",-3.6050357670007,0.033840022435744,-17.6124163832586,4.0567570936827e-56,2.03814807636029e-55,116.586225235557,"DOWN"
"CTSH",1.72497804285243,5.87462907538946,17.6193120632022,3.74528810352968e-56,1.88352248194107e-55,116.586085610335,"UP"
"RP11-216L13.16",-3.12989975432174,-3.96604446089639,-17.6087714552337,4.23170918235325e-56,2.12394916405551e-55,116.564018421865,"DOWN"
"RP11-506O24.2",-1.42756480630282,-5.56762608349896,-17.6099387285835,4.17487667737131e-56,2.09666458548648e-55,116.54146469388,"DOWN"
"CDH17",5.06027395791795,6.37145223199705,17.6095791717906,4.19230116839689e-56,2.10499998694097e-55,116.525551398357,"UP"
"ORMDL2",1.53092689377348,4.47877209074894,17.6160119913524,3.89125039901937e-56,1.95615455571482e-55,116.522919959019,"UP"
"PPP2R1B",1.51317924141439,4.82622301831557,17.6128721609454,4.03539459747299e-56,2.02781566228791e-55,116.488850577054,"UP"
"AMOTL1",-2.73150647289183,5.06751470572407,-17.6113224049281,4.10849425195587e-56,2.0637338800233e-55,116.474243686522,"DOWN"
"PPIB",1.85232033685573,7.85914366643282,17.6037015724694,4.48765356277557e-56,2.25063563506924e-55,116.473885555938,"UP"
"KAZALD1",1.72007262808805,2.3835887979312,17.6079513353783,4.27210080702972e-56,2.14337689218452e-55,116.458467220133,"UP"
