"cause","effect"
"ACTB","HIST4H4"
"ACTB","HSPA8"
"ACTB","IFNB1"
"ACTB","IL10"
"ACTB","IL6"
"ACTB","INO80D"
"ACTB","ITGA4"
"ACTB","ITGA6"
"ACTB","ITGAM"
"ACTB","LCP1"
"ACTB","MEAF6"
"ACTB","MMP9"
"ACTB","MSL1"
"ACTB","MYH11"
"ACTB","MYH14"
"ACTB","MYL12B"
"ACTB","MYL6"
"ACTB","MYO6"
"ACTB","NCK1"
"ACTB","PARVG"
"ACTB","PFDN2"
"ACTB","PFDN4"
"ACTB","PGK1"
"ACTB","PIP5K1A"
"ACTB","POLE3"
"ACTB","POLR1B"
"ACTB","POLR1C"
"ACTB","PPIA"
"ACTB","PRKCA"
"ACTB","PROM1"
"ACTB","PTPRC"
"ACTB","RAD23A"
"ACTB","RBFOX3"
"ACTB","RUVBL2"
"ACTB","SPTBN2"
"ACTB","TFPT"
"ACTB","TNF"
"ACTB","TPM3"
"ACTB","VEGFA"
"ACTB","WAS"
"ACTB","WASF1"
"ACTB","YWHAZ"
"ACTC1","ACTA1"
"ACTC1","ACTA2"
"ACTC1","ACTB"
"ACTC1","ACTG2"
"ACTC1","ACTN2"
"ACTC1","CFL1"
"ACTC1","CSRP3"
"ACTC1","DMD"
"ACTC1","MYH11"
"ACTC1","MYH6"
"ACTC1","MYH7"
"ACTC1","MYL3"
"ACTC1","MYLPF"
"ACTC1","PHACTR1"
"ACTC1","TNNI3"
"ACTC1","TPM1"
"ACTC1","TPM2"
"ACTC1","TPM3"
"ACTC1","TPM4"
"ACTC1","TTN"
"ACTG2","ACTA2"
"ACTG2","MYH14"
"ACTG2","MYL12B"
"ACTG2","MYL6"
"ACTG2","TAGLN"
"ACTL6A","HIST1H4D"
"ACTL6A","HIST1H4I"
"ACTL6A","HIST2H4A"
"ACTL6A","HIST2H4B"
"ACTL6A","HIST4H4"
"ACTL6A","MSL1"
"ACTL6A","RAD23A"
"ACTL6A","RUVBL2"
"ACTL6A","TBL1XR1"
"ACTN2","GRIA3"
"ACTN2","MYH3"
"ACTN2","TTN"
"ACTN3","ACTN2"
"ACTN3","MYH3"
"ACTN3","PIK3R1"
"ACTN3","TTN"
"ACTN4","ACTA1"
"ACTN4","ACTB"
"ACTN4","ACTN2"
"ACTN4","ACTN3"
"ACTN4","ALMS1"
"ACTN4","ANLN"
"ACTN4","CAPN1"
"ACTN4","CAPN12"
"ACTN4","CD2AP"
"ACTN4","CIB1"
"ACTN4","CTNNA2"
"ACTN4","CTNNA3"
"ACTN4","EGFR"
"ACTN4","EZR"
"ACTN4","ICAM1"
"ACTN4","INF2"
"ACTN4","ITGA6"
"ACTN4","ITGB5"
"ACTN4","ITGB6"
"ACTN4","LDB3"
"ACTN4","MAGI1"
"ACTN4","MYH7B"
"ACTN4","MYOZ2"
