"cause","effect"
"ADAL","GMPS"
"ADAM20","ADAM21"
"ADAM20","ADAM21"
"ADAMTS1","ADAMTS14"
"ADAMTS1","ADAMTS14"
"ADAMTS1","ADAMTS6"
"ADAMTS1","ADAMTS6"
"ADAMTS1","ADAMTSL1"
"ADAMTS1","ADAMTSL1"
"ADAMTS1","ADAMTSL5"
"ADAMTS1","ADAMTSL5"
"ADAMTS1","FBLN1"
"ADAMTS1","FBLN1"
"ADAMTS1","POFUT2"
"ADAMTS1","POFUT2"
"ADAMTS1","SPON2"
"ADAMTS1","SPON2"
"ADAMTS1","VEGFA"
"ADAMTS1","VEGFA"
"ADAMTS14","COL11A2"
"ADAMTS14","COL11A2"
"ADAMTS14","COL2A1"
"ADAMTS14","COL2A1"
"ADAMTS14","SPON2"
"ADAMTS14","SPON2"
"ADAMTS18","ADAMTSL4"
"ADAMTS18","ADAMTSL4"
"ADAMTSL5","ADAMTSL1"
"ADAMTSL5","ADAMTSL1"
"ADAMTSL5","POFUT2"
"ADAMTSL5","POFUT2"
"ADAMTSL5","SPON2"
"ADAMTSL5","SPON2"
"ADAMTSL5","THSD4"
"ADAMTSL5","THSD4"
"ADAR","DROSHA"
"ADAR","DROSHA"
"ADAR","GBP2"
"ADAR","GBP2"
"ADAR","HLA-A"
"ADAR","HLA-A"
"ADAR","HLA-B"
"ADAR","HLA-B"
"ADAR","HLA-C"
"ADAR","HLA-C"
"ADAR","HLA-E"
"ADAR","HLA-E"
"ADAR","HLA-G"
"ADAR","HLA-G"
"ADAR","IFI27"
"ADAR","IFI27"
"ADAR","IFI35"
"ADAR","IFI35"
"ADAR","IFIT1"
"ADAR","IFIT1"
"ADAR","IFIT2"
"ADAR","IFIT2"
"ADAR","IFIT3"
"ADAR","IFIT3"
"ADAR","IFIT5"
"ADAR","IFIT5"
"ADAR","IFITM1"
"ADAR","IFITM1"
"ADAR","IFITM2"
"ADAR","IFITM2"
"ADAR","IFITM3"
"ADAR","IFITM3"
"ADAR","ISG15"
"ADAR","ISG15"
"ADAR","MCOLN2"
"ADAR","MCOLN2"
"ADAR","MX1"
"ADAR","MX1"
"ADAR","OAS1"
"ADAR","OAS1"
"ADAR","PSMB8"
"ADAR","PSMB8"
"ADAR","UPF1"
"ADAR","UPF1"
"ADARB1","ADAL"
"ADARB1","ADAL"
"ADAT2","TRMT112"
"ADAT2","TRMT112"
"ADAT3","ALKBH8"
"ADAT3","ALKBH8"
"ADAT3","TRMT112"
"ADAT3","TRMT112"
"ADCY5","GNAZ"
"ADCY5","GNAZ"
"ADCY6","ADCY5"
"ADCY6","ADCY5"
"ADCY6","ADRB1"
"ADCY6","ADRB1"
"ADCY6","GNAI1"
"ADCY6","GNAI1"
"ADCY6","GNAI2"
"ADCY6","GNAI2"
"ADCY6","GNAZ"
"ADCY6","GNAZ"
"ADCY6","PDE6C"
"ADCY6","PDE6C"
"ADCY6","PRKACB"
"ADCY6","PRKACB"
"ADCY6","PRKCD"
"ADCY6","PRKCD"
"ADCY6","RAPGEF3"
"ADCY6","RAPGEF3"
"ADCY9","ADORA2B"
"ADCY9","ADORA2B"
"ADCY9","GNAI2"
"ADCY9","GNAI2"
"ADCY9","GNB2"
"ADCY9","GNB2"
"ADCY9","PDE2A"
"ADCY9","PDE2A"
"ADCY9","PDE4A"
"ADCY9","PDE4A"
"ADCY9","PDE6C"
"ADCY9","PDE6C"
"ADCY9","PRKACA"
"ADCY9","PRKACA"
"ADCY9","PRKACB"
"ADCY9","PRKACB"
"ADCY9","PRKAR1B"
"ADCY9","PRKAR1B"
"ADCY9","PRKCD"
"ADCY9","PRKCD"
"ADD2","ANKRD29"
"ADD2","ANKRD29"
