"Name","K","Kin","Kout","TypeI","TypeII"
"FAM63A",2,1,1,0,1
"TTC30A",5,2,3,0,1
"CDK1",137,116,21,0,1
"KIF2C",79,54,25,0,1
"TTK",77,51,26,0,1
"UBE2C",73,40,33,0,1
"ANPEP",19,8,11,0,1
"GOT1",21,15,6,0,1
"PROM1",15,11,4,0,1
"ATP6V1H",45,27,18,0,1
"CAMK2D",21,10,11,0,1
"KSR1",20,18,2,0,1
"OCRL",31,18,13,0,1
"PREP",3,2,1,0,1
"CNTN1",9,8,1,0,1
"TMED10",51,16,35,0,1
"CAMP",6,4,2,0,1
"APOOL",15,11,4,0,1
"CALR",27,17,10,0,1
"LRRK2",28,6,22,0,1
"MAPK10",27,13,14,0,1
"UBQLN1",17,13,4,0,1
"EEA1",23,9,14,0,1
"CRNKL1",17,14,3,0,1
"SF3B3",28,10,18,0,1
"SNRPB",37,30,7,0,1
"C3orf58",12,4,8,0,1
"COPA",30,18,12,0,1
"COPG1",29,16,13,0,1
"COPG2",24,18,6,0,1
"KDELR1",23,13,10,0,1
"SEC23B",17,8,9,0,1
"RAB1B",32,15,17,0,1
"FN1",55,37,18,0,1
"ROCK1",20,15,5,0,1
"ATRX",5,2,3,0,1
"GRIP1",7,5,2,0,1
"KIF5B",15,5,10,0,1
"ARMC1",3,1,2,0,1
"MORN5",4,2,2,0,1
"MYO5A",19,16,3,0,1
"ASB15",3,2,1,0,1
"CUL5",20,11,9,0,1
"POLA1",48,36,12,0,1
"CDT1",42,18,24,0,1
"SLC22A1",8,6,2,0,1
"NCOA6",12,4,8,0,1
"PRMT1",19,16,3,0,1
"RNF2",34,17,17,0,1
"GAD1",23,10,13,0,1
"INTS5",10,3,7,0,1
"CREB3L2",4,1,3,0,1
"ATG3",22,9,13,0,1
"ATG7",32,23,9,0,1
"MAP1LC3C",8,6,2,0,1
"PIK3R4",28,20,8,0,1
"UVRAG",17,13,4,0,1
"EPG5",8,4,4,0,1
"WIPI2",9,4,5,0,1
"PINK1",36,30,6,0,1
"RAB7B",6,5,1,0,1
"UBE2H",17,13,4,0,1
"TMEM30B",6,5,1,0,1
"ATP5C1",47,30,17,0,1
"ATP5F1",54,41,13,0,1
"ATP5G3",48,13,35,0,1
"ATP6V1C1",32,26,6,0,1
"EEF2",59,16,43,0,1
"NDUFA12",66,36,30,0,1
"NDUFV1",61,34,27,0,1
"NDUFB8",57,21,36,0,1
"UQCR10",63,38,25,0,1
"UQCRQ",71,49,22,0,1
"NDUFA1",61,38,23,0,1
"CHCHD2",18,16,2,0,1
"TMEM165",5,3,2,0,1
"RRAGD",21,12,9,0,1
"PRDX2",9,6,3,0,1
"AUH",9,5,4,0,1
"GINS2",52,9,43,0,1
"PPP1CC",57,33,24,0,1
"B4GALT1",21,15,6,0,1
"SDC2",24,11,13,0,1
"FMOD",17,10,7,0,1
"OMD",13,10,3,0,1
"PRELP",14,8,6,0,1
"MGAT5B",3,1,2,0,1
"DCN",24,1,23,0,1
"SDC4",30,18,12,0,1
"RTN4",8,2,6,0,1
"EPS8",6,4,2,0,1
"PPP2R1A",41,14,27,0,1
"SNRPD2",45,21,24,0,1
"XCR1",20,9,11,0,1
"PSMC2",50,40,10,0,1
"BDP1",10,6,4,0,1
"RMI1",22,12,10,0,1
"BLK",19,3,16,0,1
"MAPK11",30,13,17,0,1
"TRPV6",8,5,3,0,1
"BRCC3",16,9,7,0,1
"POLR2K",31,16,15,0,1
"BSND",2,1,1,0,1
"COPS2",31,8,23,0,1
"COPS4",31,3,28,0,1
"CLSPN",29,15,14,0,1
"MRPL17",34,8,26,0,1
