"Name","K","Kin","Kout","TypeI","TypeII"
"MAP3K1",29,20,9,0,1
"VANGL1",6,4,2,0,1
"SH2D1B",2,1,1,0,1
"CDC73",5,3,2,0,1
"CLDN7",13,7,6,0,1
"CSE1L",9,5,4,0,1
"F11R",16,7,9,0,1
"MMP3",27,10,17,0,1
"PKP3",18,8,10,0,1
"COL3A1",26,13,13,0,1
"LRP5",21,11,10,0,1
"MYO3A",4,1,3,0,1
"LEF1",34,3,31,0,1
"CEACAM19",3,1,2,0,1
"CEACAM5",7,2,5,0,1
"KLK3",7,2,5,0,1
"EFNA2",12,2,10,0,1
"MEST",4,1,3,0,1
"UGT8",10,4,6,0,1
"CFAP69",4,1,3,0,1
"PRSS1",12,6,6,0,1
"MARVELD2",11,5,6,0,1
"CLDN12",10,2,8,0,1
"CHAC2",5,2,3,0,1
"CHL1",11,1,10,0,1
"RGMB",11,2,9,0,1
"LAMA3",31,16,15,0,1
"USH2A",6,3,3,0,1
"CIDEA",7,3,4,0,1
"SI",6,2,4,0,1
"CLN6",5,2,3,0,1
"MMP1",26,15,11,0,1
"DCK",20,7,13,0,1
"DTYMK",17,10,7,0,1
"LOR",10,6,4,0,1
"CNGB3",5,2,3,0,1
"RD3",5,3,2,0,1
"CNR2",4,3,1,0,1
"CRLF1",3,2,1,0,1
"LUM",25,6,19,0,1
"CPLX2",9,4,5,0,1
"SNRPB",32,26,6,0,1
"KYNU",5,1,4,0,1
"MAGEA3",6,4,2,0,1
"IL23R",10,7,3,0,1
"MED1",20,7,13,0,1
"GBP1",20,10,10,0,1
"TXN",18,10,8,0,1
"KL",8,5,3,0,1
"PTGS1",9,4,5,0,1
"CYP2C9",27,5,22,0,1
"SLC51B",2,1,1,0,1
"DDC",8,5,3,0,1
"PIFO",2,1,1,0,1
"ULK1",8,3,5,0,1
"PCDH15",6,4,2,0,1
"FZD2",24,13,11,0,1
"DLEC1",4,1,3,0,1
"DLGAP2",7,6,1,0,1
"DMBT1",7,4,3,0,1
"HAP1",7,2,5,0,1
"EVPL",9,3,6,0,1
"PTPRR",4,2,2,0,1
"EZH2",45,9,36,0,1
"SP1",25,6,19,0,1
"EDARADD",2,1,1,0,1
"EFNA4",10,8,2,0,1
"GRB7",9,7,2,0,1
"TTC7B",3,1,2,0,1
"EPS8",9,3,6,0,1
"LEPR",13,8,5,0,1
"PPP2R5E",14,7,7,0,1
"SOX10",13,7,6,0,1
"IFIH1",43,9,34,0,1
"ELP4",4,3,1,0,1
"G6PD",13,8,5,0,1
"PKLR",11,5,6,0,1
"SPINT2",9,3,6,0,1
"SMC1B",22,11,11,0,1
"PNO1",27,6,21,0,1
"EXPH5",2,1,1,0,1
"F10",11,8,3,0,1
"PLAU",17,10,7,0,1
"SORD",5,2,3,0,1
"TNFRSF6B",2,1,1,0,1
"NCR3",12,6,6,0,1
"PIGR",3,1,2,0,1
"FGF10",6,1,5,0,1
"LCN2",13,11,2,0,1
"RGS7",9,6,3,0,1
"HNF4A",18,7,11,0,1
"GMDS",3,2,1,0,1
"FPR2",4,2,2,0,1
"GPSM2",5,4,1,0,1
"HKDC1",16,9,7,0,1
"GABBR1",11,9,2,0,1
"GATA2",10,6,4,0,1
"RGS18",9,7,2,0,1
"RGS19",9,7,2,0,1
"TAS1R1",6,3,3,0,1
"GPD1",7,1,6,0,1
"GNRH1",6,3,3,0,1
"NEGR1",4,3,1,0,1
"RAB25",4,3,1,0,1
"IRF6",17,3,14,0,1
"KIF5A",13,8,5,0,1
"HOXA9",4,2,2,0,1
"MEIS1",8,2,6,0,1
"HOXC6",3,1,2,0,1
"IGF2BP1",5,1,4,0,1
"METTL3",5,2,3,0,1
"IL17RB",4,1,3,0,1
"IL17RD",6,2,4,0,1
"IL1RAP",8,6,2,0,1
"KCND2",17,7,10,0,1
"KCNK12",4,1,3,0,1
"REEP1",3,2,1,0,1
"KLK2",8,2,6,0,1
"LRRC61",2,1,1,0,1
"LACTB2",4,2,2,0,1
"PNISR",10,4,6,0,1
"LGR5",6,2,4,0,1
"LIMK1",8,2,6,0,1
"PPP1R14C",2,1,1,0,1
"PHLDA2",2,1,1,0,1
"RAB10",8,2,6,0,1
"RAB8A",19,9,10,0,1
"RPL22L1",10,4,6,0,1
"SH2B1",8,1,7,0,1
"POTEF",3,1,2,0,1
"NAA15",3,1,2,0,1
"ST8SIA5",3,1,2,0,1
"TMEM144",2,1,1,0,1
"NUDT1",3,2,1,0,1
"ZP3",2,1,1,0,1
"P2RY13",3,2,1,0,1
"PABPC1",15,2,13,0,1
"PLAGL1",4,1,3,0,1
"PGM2L1",2,1,1,0,1
"PHF14",2,1,1,0,1
"SLC8A1",7,5,2,0,1
"PLXNB3",4,3,1,0,1
"REST",10,2,8,0,1
"SCNN1G",8,2,6,0,1
"U2AF1L4",10,4,6,0,1
"SOWAHB",2,1,1,0,1
"SLC30A6",6,4,2,0,1
"SLC35C1",4,1,3,0,1
"SLC5A1",6,1,5,0,1
"SULF1",3,1,2,0,1
"SPOCK3",3,2,1,0,1
"SPINK5",4,2,2,0,1
"ST3GAL3",15,1,14,0,1
"TCAP",9,1,8,0,1
"TCEAL1",3,1,2,0,1
