"Name","K","Kin","Kout","TypeI","TypeII"
"FTSJ1",22,12,10,0,1
"DHX9",58,25,33,0,1
"S100A7",10,6,4,0,1
"PNPLA2",15,8,7,0,1
"PLCE1",14,12,2,0,1
"TMEM259",4,2,2,0,1
"DKK1",9,6,3,0,1
"WNT9B",12,7,5,0,1
"KREMEN1",5,4,1,0,1
"TLN1",40,15,25,0,1
"DLG3",27,15,12,0,1
"SYNGAP1",15,10,5,0,1
"DLL4",11,1,10,0,1
"FLT1",32,14,18,0,1
"NKX3-2",7,5,2,0,1
"HAP1",8,6,2,0,1
"TNFRSF10D",4,2,2,0,1
"DPH5",12,7,5,0,1
"PLXNA2",13,11,2,0,1
"PLXNA4",13,11,2,0,1
"TRMT10A",12,5,7,0,1
"E2F1",29,4,25,0,1
"TFDP1",20,5,15,0,1
"PAX5",9,5,4,0,1
"TST",8,6,2,0,1
"EPHA7",5,3,2,0,1
"SLC1A5",7,6,1,0,1
"RAB8A",24,9,15,0,1
"RAB8B",10,4,6,0,1
"STRBP",4,3,1,0,1
"PAX2",13,11,2,0,1
"SOX2",48,14,34,0,1
"EPB41L5",4,1,3,0,1
"EPHA6",4,2,2,0,1
"FGFR4",16,9,7,0,1
"TARS2",14,6,8,0,1
"ICT1",81,31,50,0,1
"IL18R1",5,4,1,0,1
"SPRY4",4,3,1,0,1
"TDRKH",10,5,5,0,1
"EZH2",62,10,52,0,1
"F2RL2",6,2,4,0,1
"FA2H",4,1,3,0,1
"HINT1",14,3,11,0,1
"FAHD1",6,5,1,0,1
"TNNI3K",4,1,3,0,1
"FJX1",3,1,2,0,1
"MASP1",8,3,5,0,1
"WNT3A",36,9,27,0,1
"FLAD1",5,1,4,0,1
"FLNC",15,5,10,0,1
"PAX3",9,8,1,0,1
"RSPO1",9,8,1,0,1
"FREM1",6,5,1,0,1
"FREM2",5,1,4,0,1
"WNT5A",20,4,16,0,1
"GABBR1",11,8,3,0,1
"NLRP3",19,5,14,0,1
"TBX5",9,4,5,0,1
"PTPN22",10,4,6,0,1
"TMEM86B",5,3,2,0,1
"HK3",12,4,8,0,1
"GORASP2",9,1,8,0,1
"GPATCH2",3,1,2,0,1
"IGSF11",2,1,1,0,1
"PRDX4",10,6,4,0,1
"NTRK3",9,5,4,0,1
"IRF6",7,3,4,0,1
"P2RX6",6,5,1,0,1
"GRK7",3,1,2,0,1
"GTF2A2",22,15,7,0,1
"MRGBP",9,6,3,0,1
"HDC",8,2,6,0,1
"HAND2",7,4,3,0,1
"NKX2-5",10,2,8,0,1
"HENMT1",9,4,5,0,1
"HOMER1",12,3,9,0,1
"HOXA5",8,1,7,0,1
"SIX2",7,2,5,0,1
"SMAD1",7,5,2,0,1
"SMAD6",6,2,4,0,1
"HSD11B1",13,6,7,0,1
"MRPL12",86,44,42,0,1
"IFT22",8,3,5,0,1
"PAPPA",4,2,2,0,1
"IGF2BP1",4,1,3,0,1
"PTH1R",10,4,6,0,1
"IL36RN",9,7,2,0,1
"SORBS1",11,9,2,0,1
"IPO11",8,5,3,0,1
"IRX1",2,1,1,0,1
"SUSD2",2,1,1,0,1
"PLXND1",14,6,8,0,1
"KCNAB3",12,3,9,0,1
"KCNH7",5,2,3,0,1
"SCN4B",13,5,8,0,1
"SND1",10,5,5,0,1
"SORD",9,2,7,0,1
"KIR3DL2",9,3,6,0,1
"TRMT12",9,6,3,0,1
"LHX8",5,1,4,0,1
"TNS1",15,1,14,0,1
"PTPRD",5,3,2,0,1
"MAPK8IP2",5,3,2,0,1
"LSM12",6,5,1,0,1
"MC4R",3,2,1,0,1
"METTL13",6,3,3,0,1
"PIGC",8,4,4,0,1
"MFSD9",3,1,2,0,1
"TIMP2",12,4,8,0,1
"SIKE1",6,3,3,0,1
"MRPL3",96,19,77,0,1
"TPD52",5,2,3,0,1
"MSI2",3,1,2,0,1
"ROBO3",7,3,4,0,1
"TCF3",18,3,15,0,1
"TMC1",4,1,3,0,1
"TCAP",26,8,18,0,1
"ONECUT1",7,1,6,0,1
"NPR2",9,3,6,0,1
"PHLDA2",3,1,2,0,1
"PAPLN",2,1,1,0,1
"TP53",124,3,121,0,1
"PLAGL1",3,2,1,0,1
"PI16",2,1,1,0,1
"PRG2",4,2,2,0,1
"SYCP2",8,4,4,0,1
"RAMP3",9,1,8,0,1
"RAP2B",2,1,1,0,1
"RDH10",4,1,3,0,1
"RNF219",2,1,1,0,1
"SLIT3",4,1,3,0,1
"SRPRB",18,14,4,0,1
"SSR2",16,5,11,0,1
"SSR3",19,4,15,0,1
"RSPO3",4,3,1,0,1
"SCNN1G",9,2,7,0,1
"SIX3",9,1,8,0,1
"SLC5A12",2,1,1,0,1
"SLC1A1",4,2,2,0,1
"SLC47A2",2,1,1,0,1
"SNX22",2,1,1,0,1
"TES",4,2,2,0,1
"SULT1C2",3,1,2,0,1
"UPK2",3,2,1,0,1
