"Name","K","Kin","Kout","TypeI","TypeII"
"LYPD1",2,1,1,0,1
"GPX7",13,6,7,0,1
"NTRK3",12,6,6,0,1
"IRF6",9,3,6,0,1
"ORMDL3",6,4,2,0,1
"ICT1",47,17,30,0,1
"TM6SF2",4,3,1,0,1
"HOXA5",9,1,8,0,1
"MRPL12",47,26,21,0,1
"MRPL40",41,21,20,0,1
"STOML2",4,2,2,0,1
"KRTCAP2",10,2,8,0,1
"WDR19",7,4,3,0,1
"IGF2BP1",4,1,3,0,1
"PIP5KL1",11,8,3,0,1
"INTS5",6,2,4,0,1
"SORBS1",7,5,2,0,1
"PNPLA7",11,9,2,0,1
"KCNAB3",6,3,3,0,1
"KCNH7",5,1,4,0,1
"KLHL3",7,3,4,0,1
"KEL",3,1,2,0,1
"KIAA0196",4,2,2,0,1
"LHFPL5",7,2,5,0,1
"TNS1",10,1,9,0,1
"SYNE1",7,3,4,0,1
"PTPRD",8,5,3,0,1
"NLGN2",9,1,8,0,1
"LSM12",4,3,1,0,1
"PATL2",3,2,1,0,1
"MAGOHB",24,10,14,0,1
"MARCO",2,1,1,0,1
"MARVELD2",7,3,4,0,1
"TSPEAR",2,1,1,0,1
"TRMT1L",7,4,3,0,1
"SPOCK3",3,2,1,0,1
"MT1X",3,2,1,0,1
"MYH7B",8,2,6,0,1
"VCAM1",18,5,13,0,1
"SPATA25",3,1,2,0,1
"NOS1AP",7,3,4,0,1
"TP53",133,5,128,0,1
"SCN1A",8,2,6,0,1
"PIGT",8,2,6,0,1
"PIGR",3,1,2,0,1
"SYN1",16,5,11,0,1
"RAP2B",3,1,2,0,1
"RAPGEF5",4,2,2,0,1
"SPA17",3,1,2,0,1
"STK39",5,3,2,0,1
"SLIT3",4,1,3,0,1
"TIMM23",8,7,1,0,1
"SRPRB",11,10,1,0,1
"SSR3",18,4,14,0,1
"SCGB1A1",4,1,3,0,1
"SHROOM3",2,1,1,0,1
"SOWAHB",2,1,1,0,1
"SLC15A1",2,1,1,0,1
"SNAP25",37,4,33,0,1
"SLC24A2",2,1,1,0,1
"SLC35C1",4,1,3,0,1
"TES",2,1,1,0,1
"TFAM",3,2,1,0,1
"TREML1",3,2,1,0,1
"TRPV2",9,2,7,0,1
"YIPF5",3,1,2,0,1
