"Name","K","Kin","Kout","TypeI","TypeII"
"CDCA8",133,94,39,0,1
"CDK1",222,180,42,0,1
"CENPA",129,59,70,0,1
"DIAPH3",18,15,3,0,1
"INCENP",63,51,12,0,1
"MYL9",29,10,19,0,1
"NEK2",91,55,36,0,1
"RRM2",133,77,56,0,1
"SHCBP1",56,26,30,0,1
"TTK",133,88,45,0,1
"UBE2C",125,71,54,0,1
"ZWINT",95,68,27,0,1
"CD5",29,15,14,0,1
"SFN",23,14,9,0,1
"ANXA1",12,9,3,0,1
"FPR2",8,6,2,0,1
"RDH11",5,4,1,0,1
"APEH",4,1,3,0,1
"NOTCH4",27,19,8,0,1
"BLM",72,32,40,0,1
"CASC5",57,29,28,0,1
"ERCC4",47,14,33,0,1
"USP1",22,9,13,0,1
"MED1",23,9,14,0,1
"P4HB",32,20,12,0,1
"PPARGC1A",34,10,24,0,1
"CALR",33,18,15,0,1
"SEC61A1",40,4,36,0,1
"APOBEC3B",3,1,2,0,1
"AQP7",5,3,2,0,1
"HSPA4",67,33,34,0,1
"SLC9A3",5,2,3,0,1
"PLIN1",16,6,10,0,1
"AR",27,12,15,0,1
"FOXO1",22,11,11,0,1
"HSPA1L",19,15,4,0,1
"ARF6",35,17,18,0,1
"ARHGAP10",6,2,4,0,1
"ARHGDIB",11,3,8,0,1
"GRIP1",20,12,8,0,1
"ARL9",2,1,1,0,1
"IQCD",5,3,2,0,1
"FCGR1A",29,16,13,0,1
"FCGR3A",42,22,20,0,1
"IPO4",21,7,14,0,1
"PCNA",116,89,27,0,1
"RBBP4",67,48,19,0,1
"HIST1H4H",50,30,20,0,1
"CERS2",8,3,5,0,1
"CKS2",63,44,19,0,1
"KIF2A",10,7,3,0,1
"RBBP8",40,36,4,0,1
"ASPN",7,5,2,0,1
"CEBPA",21,20,1,0,1
"JUN",52,19,33,0,1
"CANT1",13,6,7,0,1
"ATP1A4",8,5,3,0,1
"ATP2A3",5,3,2,0,1
"CACNA1D",19,6,13,0,1
"COX6C",16,15,1,0,1
"UQCR10",21,10,11,0,1
"ATP6V1G1",11,7,4,0,1
"ATP6V0D2",15,4,11,0,1
"TMEM30B",3,2,1,0,1
"MAPRE1",19,12,7,0,1
"PRIM1",62,39,23,0,1
"UBE2N",36,11,25,0,1
"NDC1",32,21,11,0,1
"PPP1CA",44,20,24,0,1
"GABRA3",4,1,3,0,1
"FUT2",8,7,1,0,1
"B4GALT1",21,11,10,0,1
"FUT8",10,6,4,0,1
"MGAT5",5,4,1,0,1
