"cause","effect"
"ACTB","CHEK1"
"ACTB","CLIC4"
"ACTB","CLIC4"
"ACTB","CORO1C"
"ACTB","CORO1C"
"ACTB","CTGF"
"ACTB","CTGF"
"ACTB","CYBB"
"ACTB","CYBB"
"ACTB","CYFIP1"
"ACTB","CYFIP1"
"ACTB","DLG4"
"ACTB","DLG4"
"ACTB","ENAH"
"ACTB","ENAH"
"ACTB","GFAP"
"ACTB","GFAP"
"ACTB","GTF2A1"
"ACTB","GTF2A1"
"ACTB","H3F3A"
"ACTB","H3F3A"
"ACTB","HIST2H4A"
"ACTB","HIST2H4A"
"ACTB","IL10"
"ACTB","IL10"
"ACTB","IL6"
"ACTB","IL6"
"ACTB","ITGA6"
"ACTB","ITGA6"
"ACTB","ITGAM"
"ACTB","ITGAM"
"ACTB","ITGB1"
"ACTB","ITGB1"
"ACTB","LCP1"
"ACTB","LCP1"
"ACTB","LIMS1"
"ACTB","LIMS1"
"ACTB","MCL1"
"ACTB","MCL1"
"ACTB","MYL5"
"ACTB","MYL5"
"ACTB","NCK1"
"ACTB","NCK1"
"ACTB","PARVB"
"ACTB","PARVB"
"ACTB","PARVG"
"ACTB","PARVG"
"ACTB","POLR1B"
"ACTB","POLR1B"
"ACTB","PTGS2"
"ACTB","PTGS2"
"ACTB","PTPRC"
"ACTB","PTPRC"
"ACTB","RBFOX3"
"ACTB","RBFOX3"
"ACTB","RDX"
"ACTB","RDX"
"ACTB","RHOA"
"ACTB","RHOA"
"ACTB","RPL13A"
"ACTB","RPL13A"
"ACTB","RPLP0"
"ACTB","RPLP0"
"ACTB","SPTBN2"
"ACTB","SPTBN2"
"ACTB","TNF"
"ACTB","TNF"
"ACTB","TUBB2A"
"ACTB","TUBB2A"
"ACTB","WAS"
"ACTB","WAS"
"ACTB","WASF2"
"ACTB","WASF2"
"ACTB","WDR1"
"ACTB","WDR1"
"ACTB","WIPF1"
"ACTB","WIPF1"
"ACTB","XIAP"
"ACTB","XIAP"
"ACTC1","ACTA1"
"ACTC1","ACTA1"
"ACTC1","ACTG2"
"ACTC1","ACTG2"
"ACTC1","MYH11"
"ACTC1","MYH11"
"ACTC1","MYH6"
"ACTC1","MYH6"
"ACTC1","MYH7"
"ACTC1","MYH7"
"ACTC1","MYL4"
"ACTC1","MYL4"
"ACTC1","MYLPF"
"ACTC1","MYLPF"
"ACTC1","PHACTR1"
"ACTC1","PHACTR1"
"ACTG1","CYFIP1"
"ACTG1","CYFIP1"
"ACTG1","WASF2"
"ACTG1","WASF2"
"ACTL6A","ACTG1"
"ACTL6A","ACTG1"
"ACTL6A","HIST1H4E"
"ACTL6A","HIST1H4E"
"ACTL6A","HIST2H4A"
"ACTL6A","HIST2H4A"
"ACTL6A","SS18"
"ACTL6A","SS18"
"ACTL6B","ACTB"
"ACTL6B","ACTB"
"ACTL6B","ACTG1"
"ACTL6B","ACTG1"
"ACTL6B","ACTL6A"
"ACTL6B","ACTL6A"
"ACTL6B","ACTR8"
"ACTL6B","ACTR8"
"ACTL6B","BANF1"
"ACTL6B","BANF1"
"ACTL6B","BRD7"
"ACTL6B","BRD7"
"ACTL6B","RB1"
"ACTL6B","RB1"
"ACTL6B","SS18"
"ACTL6B","SS18"
"ACTL6B","VPS72"
"ACTL6B","VPS72"
"ACTN2","GRIN2B"
"ACTN2","GRIN2B"
"ACTN2","TTN"
"ACTN2","TTN"
"ACTN3","ACTN2"
"ACTN3","ACTN2"
"ACTR1B","DCTN4"
"ACTR1B","DCTN4"
"ACTR1B","DNAH1"
"ACTR1B","DNAH1"
"ACTR1B","DNAH14"
"ACTR1B","DNAH14"
"ACTR1B","DNAH2"
"ACTR1B","DNAH2"
"ACTR1B","DNAH6"
"ACTR1B","DNAH6"
"ACTR1B","DNAH8"
"ACTR1B","DNAH8"
"ACTR1B","DNAI1"
"ACTR1B","DNAI1"
"ACTR3B","ACTB"
"ACTR3B","ACTB"
"ACTR3B","ACTR8"
"ACTR3B","ACTR8"
"ACTR3B","ARPC1B"
"ACTR3B","ARPC1B"
"ACTR3B","ARPC5L"
"ACTR3B","ARPC5L"
"ACTR3B","HCLS1"
"ACTR3B","HCLS1"
"ACTR3B","NCKIPSD"
"ACTR3B","NCKIPSD"
"ACTR3B","RUVBL1"
"ACTR3B","RUVBL1"
"ACTR3B","WAS"
"ACTR3B","WAS"
"ACTR3B","WASF2"
"ACTR3B","WASF2"
"ACTR3C","ARPC5L"
"ACTR3C","ARPC5L"
"ACTR3C","LRRC61"
"ACTR3C","LRRC61"
"ACTR3C","NCKIPSD"
"ACTR3C","NCKIPSD"
"ACTR3C","WAS"
"ACTR3C","WAS"
"ACTR8","ACTB"
"ACTR8","ACTB"
"ACTR8","ACTL6A"
"ACTR8","ACTL6A"
"ACVR1","BMP5"
"ACVR1","BMP5"
"ACVR1","BMP7"
"ACVR1","BMP7"
"ACVR1","BMPR1A"
"ACVR1","BMPR1A"
"ACVR1","INHBB"
"ACVR1","INHBB"
"ACVR1","RGMB"
"ACVR1","RGMB"
"ACVR1","TGFBR1"
"ACVR1","TGFBR1"
"ACVR1","XPR1"
"ACVR1","XPR1"
"ACVR1C","ACVR1"
"ACVR1C","ACVR1"
"ACVR1C","CFC1"
"ACVR1C","CFC1"
"ACVR1C","INHBC"
"ACVR1C","INHBC"
"ACVR1C","LEFTY2"
"ACVR1C","LEFTY2"
"ACYP1","ACOT12"
"ACYP1","ACOT12"
"ADAM10","ADAM17"
"ADAM10","ADAM17"
"ADAM10","APH1A"
"ADAM10","APH1A"
"ADAM10","BAX"
"ADAM10","BAX"
"ADAM10","CD151"
"ADAM10","CD151"
"ADAM10","CD81"
"ADAM10","CD81"
"ADAM10","CD9"
"ADAM10","CD9"
"ADAM10","CDH2"
"ADAM10","CDH2"
"ADAM10","COL17A1"
"ADAM10","COL17A1"
"ADAM10","CTNNB1"
"ADAM10","CTNNB1"
"ADAM10","DLL1"
"ADAM10","DLL1"
"ADAM10","EGFR"
"ADAM10","EGFR"
"ADAM10","EPHA4"
"ADAM10","EPHA4"
"ADAM10","JAG2"
"ADAM10","JAG2"
"ADAM10","KDR"
"ADAM10","KDR"
"ADAM10","MMP14"
"ADAM10","MMP14"
"ADAM10","NCSTN"
"ADAM10","NCSTN"
"ADAM10","NOTCH1"
"ADAM10","NOTCH1"
"ADAM10","TIMP3"
"ADAM10","TIMP3"
"ADAM10","TSPAN15"
"ADAM10","TSPAN15"
"ADAM11","LGI1"
"ADAM11","LGI1"
"ADAM11","LGI2"
"ADAM11","LGI2"
"ADAM11","LGI3"
"ADAM11","LGI3"
"ADAM11","LGI4"
"ADAM11","LGI4"
"ADAM17","CD163"
"ADAM17","CD163"
"ADAM17","CD9"
"ADAM17","CD9"
"ADAM17","DLL1"
"ADAM17","DLL1"
"ADAM17","IL6"
"ADAM17","IL6"
"ADAM17","ITGB1"
"ADAM17","ITGB1"
"ADAM17","NRG4"
"ADAM17","NRG4"
"ADAM17","RHBDF2"
"ADAM17","RHBDF2"
"ADAM17","TNF"
"ADAM17","TNF"
"ADAM17","TNFRSF1B"
"ADAM17","TNFRSF1B"
"ADAM28","ITGB1"
"ADAM28","ITGB1"
"ADAMTS1","ACAN"
"ADAMTS1","ACAN"
"ADAMTS1","ADAMTS13"
"ADAMTS1","ADAMTS13"
"ADAMTS1","ADAMTS14"
"ADAMTS1","ADAMTS14"
"ADAMTS1","ADAMTS15"
"ADAMTS1","ADAMTS15"
"ADAMTS1","ADAMTS20"
"ADAMTS1","ADAMTS20"
"ADAMTS1","ADAMTS3"
"ADAMTS1","ADAMTS3"
"ADAMTS1","ADAMTS9"
