"cause","effect"
"ACTR3","WASF2"
"ACTR3","WASF3"
"ACTR3","WDR1"
"ACTR3","WIPF1"
"ACTR3B","ACTB"
"ACTR3B","ACTG1"
"ACTR3B","ACTR3"
"ACTR3B","ARPC1B"
"ACTR3B","ARPC5"
"ACTR3B","HCLS1"
"ACTR3B","NCKIPSD"
"ACTR3B","RUVBL1"
"ACTR3B","WAS"
"ACTR3B","WASF2"
"ACTR3C","ACTB"
"ACTR3C","ARPC1B"
"ACTR3C","ARPC5"
"ACTR3C","HCLS1"
"ACTR3C","WAS"
"ACVR1","BMP8A"
"ACVR1","BMPR1A"
"ACVR1","FKBP1B"
"ACVR1","INHBB"
"ACVR1","RGMA"
"ACVR1","TGFBR1"
"ACVR1","XPR1"
"ACVR1C","ACVR1"
"ACVR1C","CFC1"
"ACVR1C","DAND5"
"ACVR1C","LEFTY1"
"ACVR1C","TDGF1"
"ACYP1","ACOT12"
"ACYP1","ACSS1"
"ADAM10","ADAM17"
"ADAM10","APH1A"
"ADAM10","BAX"
"ADAM10","CD151"
"ADAM10","CD81"
"ADAM10","CD9"
"ADAM10","CDH2"
"ADAM10","CTNNA1"
"ADAM10","CTNNB1"
"ADAM10","EFNA1"
"ADAM10","EFNA3"
"ADAM10","EFNA5"
"ADAM10","EGFR"
"ADAM10","EPHA2"
"ADAM10","EPHA4"
"ADAM10","IGSF8"
"ADAM10","JAG2"
"ADAM10","KDR"
"ADAM10","MMP14"
"ADAM10","NCSTN"
"ADAM10","NOTCH1"
"ADAM10","NOTCH3"
"ADAM10","PSENEN"
"ADAM10","PTGFRN"
"ADAM10","TIMP3"
"ADAM10","UBA52"
"ADAM11","DBF4B"
"ADAM11","LGI1"
"ADAM11","LGI3"
"ADAM11","LGI4"
"ADAM12","ITGB1"
"ADAM17","BDNF"
"ADAM17","BTC"
"ADAM17","CD163"
"ADAM17","CD9"
"ADAM17","ERBB4"
"ADAM17","FHL2"
"ADAM17","ITGB1"
"ADAM17","JAG2"
"ADAM17","NRG3"
"ADAM17","NRG4"
"ADAM17","RHBDF2"
"ADAM17","TNF"
"ADAM17","TNFRSF1B"
"ADAM17","UBA52"
"ADAM23","CACNG2"
"ADAM23","DLG4"
"ADAM23","LGI1"
"ADAM23","LGI3"
"ADAM23","LGI4"
"ADAM28","ITGA4"
"ADAM28","ITGB1"
"ADAM28","LGI1"
"ADAMTS10","ADAMTS12"
"ADAMTS10","ADAMTS13"
"ADAMTS10","ADAMTS15"
"ADAMTS10","ADAMTS16"
"ADAMTS10","ADAMTS18"
"ADAMTS10","ADAMTS19"
"ADAMTS10","ADAMTS5"
"ADAMTS10","ADAMTS6"
"ADAMTS10","ADAMTS7"
"ADAMTS10","ADAMTS9"
"ADAMTS10","ADAMTSL4"
"ADAMTS10","ADAMTSL5"
"ADAMTS10","SEMA5A"
"ADAMTS10","THBS2"
"ADAMTS10","THSD4"
"ADAMTS13","ADAMTS12"
"ADAMTS13","ADAMTS6"
"ADAMTS13","ADAMTS7"
"ADAMTS13","ADAMTS9"
"ADAMTS13","SEMA5A"
"ADAMTS15","ADAMTS12"
"ADAMTS15","ADAMTS13"
"ADAMTS15","ADAMTS7"
"ADAMTS15","ADAMTS9"
"ADAMTS15","ADAMTSL4"
"ADAMTS15","SEMA5A"
"ADAMTS15","THBS2"
"ADAMTS15","THSD4"
"ADAMTS16","ADAMTS12"
"ADAMTS16","ADAMTS13"
"ADAMTS16","ADAMTS15"
"ADAMTS16","ADAMTS19"
"ADAMTS16","ADAMTS6"
"ADAMTS16","ADAMTS7"
"ADAMTS16","ADAMTSL5"
"ADAMTS16","SEMA5A"
"ADAMTS16","THBS2"
"ADAMTS16","THSD4"
"ADAMTS17","ADAMTS10"
"ADAMTS17","ADAMTS12"
"ADAMTS17","ADAMTS13"
"ADAMTS17","ADAMTS15"
"ADAMTS17","ADAMTS16"
"ADAMTS17","ADAMTS19"
"ADAMTS17","ADAMTS5"
"ADAMTS17","ADAMTS6"
"ADAMTS17","ADAMTS7"
"ADAMTS17","ADAMTSL5"
"ADAMTS17","THBS2"
"ADAMTS17","THSD4"
"ADAMTS18","ADAMTS13"
"ADAMTS18","ADAMTS15"
"ADAMTS18","ADAMTS5"
"ADAMTS18","ADAMTS6"
"ADAMTS18","ADAMTS7"
"ADAMTS18","ADAMTS9"
"ADAMTS18","ADAMTSL4"
"ADAMTS18","SEMA5A"
"ADAMTS18","THBS2"
"ADAMTS19","ADAMTS13"
"ADAMTS19","ADAMTS15"
"ADAMTS19","ADAMTS5"
"ADAMTS19","ADAMTS6"
"ADAMTS19","ADAMTS7"
"ADAMTS19","ADAMTSL5"
"ADAMTS19","SEMA5A"
"ADAMTS19","THBS2"
"ADAMTS19","THSD4"
"ADAMTS5","ADAMTS12"
"ADAMTS5","ADAMTS13"
"ADAMTS5","ADAMTS15"
"ADAMTS5","ADAMTS6"
"ADAMTS5","ADAMTS7"
"ADAMTS5","ADAMTS9"
"ADAMTS5","ADAMTSL4"
"ADAMTS5","ADAMTSL5"
"ADAMTS5","SEMA5A"
"ADAMTS5","THBS2"
"ADAMTS6","ADAMTS7"
"ADAMTS6","ADAMTS9"
"ADAMTS6","SEMA5A"
"ADAMTS7","ADAMTS12"
"ADAMTS7","ADAMTS9"
"ADAMTS8","ADAMTS10"
"ADAMTS8","ADAMTS13"
"ADAMTS8","ADAMTS15"
"ADAMTS8","ADAMTS16"
"ADAMTS8","ADAMTS17"
"ADAMTS8","ADAMTS18"
"ADAMTS8","ADAMTS19"
"ADAMTS8","ADAMTS6"
"ADAMTS8","ADAMTS7"
"ADAMTS8","ADAMTSL5"
"ADAMTS8","SEMA5A"
"ADAMTS8","THBS2"
"ADAMTS8","THSD4"
"ADAMTS9","ADAMTS12"
"ADAMTSL4","ADAMTS12"
"ADAMTSL4","ADAMTS13"
"ADAMTSL4","ADAMTS6"
"ADAMTSL4","ADAMTS7"
"ADAMTSL4","ADAMTS9"
"ADAMTSL5","ADAMTS12"
"ADAMTSL5","ADAMTS13"
"ADAMTSL5","ADAMTS6"
"ADAMTSL5","ADAMTS7"
"ADAMTSL5","ADAMTSL4"
"ADAMTSL5","DOK4"
"ADAMTSL5","FBN2"
"ADAMTSL5","THBS2"
"ADAMTSL5","THSD4"
"ADAMTSL5","TMEM184B"
"ADAP2","TEFM"
"ADARB1","SLC39A1"
"ADAT1","DNAH8"
"ADAT1","KARS"
"ADCY1","ADCY4"
"ADCY1","ADCY5"
"ADCY1","CAMK2A"
"ADCY1","CAMK2B"
"ADCY1","CAMK2D"
"ADCY1","CAP1"
"ADCY1","EDNRA"
"ADCY1","GNAI1"
"ADCY1","GNAI2"
"ADCY1","GNAI3"
"ADCY1","GNAL"
"ADCY1","GNAZ"
"ADCY1","GNB2"
"ADCY1","GNG7"
"ADCY1","LPPR3"
"ADCY1","PDE10A"
"ADCY1","PDE1A"
"ADCY1","PDE1C"
"ADCY1","PDE2A"
"ADCY1","PDE4A"
"ADCY1","PDE4B"
"ADCY1","PDE4C"
"ADCY1","PRKAR1B"
"ADCY1","PRKCE"
"ADCY1","RAPGEF3"
"ADCY1","RAPGEF4"
"ADCY10","CHEK2"
"ADCY10","PDE10A"
"ADCY10","PDE1A"
"ADCY10","PDE1C"
"ADCY10","PDE4A"
"ADCY10","PDE6B"
"ADCY2","ADCY5"
"ADCY2","ADRA2C"
"ADCY2","CAMK2A"
"ADCY2","GNAI1"
"ADCY2","GNAI3"
"ADCY2","GNAZ"
"ADCY2","GNG10"
"ADCY2","PDE10A"
"ADCY2","PDE1A"
"ADCY2","PDE4A"
"ADCY2","PDE6B"
"ADCY2","PRKAR1B"
"ADCY2","RAPGEF4"
"ADCY4","ADCY2"
"ADCY4","ADCY5"
"ADCY4","CAMK2D"
"ADCY4","EDNRA"
"ADCY4","GNAI1"
"ADCY4","GNAI2"
"ADCY4","GNAI3"
"ADCY4","GNAL"
"ADCY4","GNAZ"
"ADCY4","GNG10"
"ADCY4","GNG5"
"ADCY4","PDE10A"
"ADCY4","PDE1A"
"ADCY4","PDE1C"
"ADCY4","PDE2A"
"ADCY4","PDE4A"
"ADCY4","PDE4B"
"ADCY4","PDE4C"
"ADCY4","PDE6B"
"ADCY4","PRKAR1B"
"ADCY4","RAPGEF3"
"ADCY4","RAPGEF4"
"ADCY5","GIPR"
"ADCY5","GNAZ"
"ADCY5","PDE10A"
"ADCYAP1","GIPR"
"ADD2","DMTN"
"ADD2","MTPN"
"ADD2","RPH3A"
"ADH1B","ADH1C"
"ADH1B","ADHFE1"
"ADH1B","ALDH1A3"
"ADH1B","AOX1"
"ADH1B","CYP2E1"
"ADH1B","CYP4X1"
"ADH1B","SULT1A1"
"ADH1B","SULT1A2"
"ADH5","ADHFE1"
"ADH5","ALDH1A1"
"ADH5","ALDH1B1"
"ADH5","ALDH3A1"
"ADH5","ALDH3B1"
"ADH5","AOX1"
"ADH5","ENO2"
"ADH5","GSTP1"
"ADH5","LDHA"
"ADH5","MDH1"
"ADH5","MGST2"
"ADH5","UPP2"
"ADHFE1","ADH1C"
"ADHFE1","ALDH6A1"
"ADHFE1","GSTP1"
"ADHFE1","UPP2"
"ADORA2A","VIP"
"ADORA3","CECR1"
"ADPGK","ALDOB"
"ADPGK","DERA"
"ADPGK","GLYCTK"
"ADPGK","H6PD"
"ADPGK","HK1"
"ADPGK","PGM2"
"ADRA1A","GNA13"
"ADRA1A","NOS1"
"ADRA1B","ADRA1A"
"ADRA1B","ADRA1D"
"ADRA1B","ADRBK1"
"ADRA1B","AGT"
"ADRA1B","ARRB1"
"ADRA1B","CCL4"
"ADRA1B","FPR1"
"ADRA1B","GNA13"
"ADRA1B","PRRT2"
"ADRA1B","TBXA2R"
"ADRA1D","GNA13"
"ADRA1D","SNTB1"
"ADRA1D","TBXA2R"
"ADRA2A","ADCY4"
"ADRA2A","ADCY5"
"ADRA2A","GNAI1"
"ADRA2A","GNAI2"
"ADRA2A","GNAZ"
"ADRA2A","PPP1R9B"
"ADRA2A","SFTPB"
"ADRA2A","SFTPC"
"ADRA2A","UCHL1"
"ADRB1","ADCY5"
"ADRB1","ARRB1"
"ADRB1","DLG4"
"ADRB1","GNAI3"
"ADRB1","RAPGEF3"
"ADRBK1","ADRB1"
"ADRBK1","ADRBK2"
"ADRBK1","AGT"
"ADRBK1","AGTR1"
"ADRBK1","ARRB1"
"ADRBK1","CCL4"
"ADRBK1","CCR4"
"ADRBK1","CSNK1A1"
"ADRBK1","CXCR2"
"ADRBK1","CXCR4"
"ADRBK1","EVC2"
"ADRBK1","FPR1"
"ADRBK1","GIT1"
"ADRBK1","GLP1R"
"ADRBK1","NCS1"
"ADRBK1","PIK3CG"
"ADRBK1","RAPGEF3"
"ADRBK1","SUCLG2"
"ADRBK1","TBXA2R"
"ADRBK2","ARRB1"
"ADRBK2","CCR4"
"ADRBK2","CXCR4"
"ADRBK2","F2R"
"ADRBK2","GIT1"
"ADRBK2","MYO18B"
"ADRBK2","TBXA2R"
"ADTRP","TFPI"
"AES","CTNNB1"
"AES","HDAC1"
"AES","NLK"
"AFF2","FRA10AC1"
"AGA","GOT1"
"AGAP2","PPP1R9B"
"AGBL4","TTLL6"
"AGPAT4","DGKB"
"AGPAT4","DGKH"
"AGPAT4","GPAT2"
"AGPAT4","LPIN1"
"AGPAT4","LPIN3"
"AGPAT4","LPPR3"
"AGPAT4","MBOAT1"
"AGPAT4","PPAP2C"
"AGPAT5","AGPAT4"
"AGPAT5","CDS1"
"AGPAT5","DGKA"
"AGPAT5","DGKB"
"AGPAT5","DGKH"
"AGPAT5","DGKI"
"AGPAT5","DGKZ"
"AGPAT5","GPAT2"
"AGPAT5","LCLAT1"
"AGPAT5","LPIN1"
"AGPAT5","LPIN3"
"AGPAT5","MBOAT1"
"AGPS","ABCD3"
"AGPS","PEX12"
"AGPS","PEX13"
"AGPS","PEX2"
"AGPS","SCP2"
"AGT","AGTR1"
"AGT","AHSG"
"AGT","ARRB1"
"AGT","EDNRB"
"AGT","FPR1"
"AGT","HCK"
"AGT","HELZ2"
"AGT","LPAR6"
"AGT","PRKAR1B"
"AGTRAP","AGT"
"AGTRAP","AGTR1"
"AGTRAP","CAMK2B"
"AGTRAP","CAMK2D"
"AGTRAP","GNB2L1"
"AHCY","ADH5"
"AHCY","ADHFE1"
"AHCY","DNPEP"
"AHCY","GSTP1"
"AHCY","LDHA"
"AHCY","SDSL"
"AHCY","SHMT1"
"AHCY","SHMT2"
"AHI1","ARL13B"
"AHI1","CC2D2A"
"AHI1","CEP290"
"AHI1","MKS1"
"AHI1","NPHP4"
"AHI1","TCTN1"
"AHI1","TCTN3"
"AHNAK2","S100A10"
"AHR","CAV1"
"AHR","CTNNB1"
"AHR","IDO1"
"AHR","KLF6"
"AHR","NFE2L2"
"AHR","NRIP1"
"AHR","RB1"
"AHR","TDO2"
"AHRR","CYP1A1"
"AHRR","FLYWCH1"
"AHSA2","SIL1"
"AHSG","PAH"
"AHSG","RGMA"
"AIF1","CYBB"
"AIF1","GFAP"
"AIF1","IL6"
"AIF1","ITGAM"
"AIF1","LCP1"
"AIF1","MBP"
"AIF1","MRC1"
"AIF1","PTPRC"
"AIF1","TNF"
"AIM2","CARD16"
"AIM2","CASP1"
"AIM2","CASP4"
"AIM2","CASP5"
"AIM2","DDX58"
"AIM2","MB21D1"
"AIM2","NLRC4"
"AIMP1","FAM126A"
"AIMP1","TARS"
"AIMP1","TWF1"
"AIMP2","AIMP1"
"AIMP2","DARS"
"AIMP2","GAR1"
"AIMP2","KARS"
"AIMP2","MARS2"
"AIMP2","PARK2"
"AIMP2","QARS"
"AIMP2","RARS2"
"AIPL1","GUCA1A"
"AIPL1","PDE6B"
"AIPL1","RPGRIP1"
"AIRE","DEAF1"
"AIRE","HIST1H3B"
"AIRE","HIST1H3F"
"AIRE","KRT17"
"AJUBA","CTNNA1"
"AJUBA","CTNNB1"
"AJUBA","LATS2"
"AJUBA","LIMD1"
"AJUBA","NOS1AP"
"AJUBA","WWC1"
"AK2","ADSL"
"AK2","APRT"
"AK2","NME1-NME2"
"AK2","NME2"
"AK2","NME6"
"AK2","NT5C3A"
"AK2","PGM2"
"AK2","RRM2"
"AK5","CPNE6"
"AK5","NME6"
"AK7","AK5"
"AK7","APRT"
"AK7","DCK"
"AK7","PKLR"
"AK7","RRM1"
"AKAP5","ADCY5"
"AKAP5","CAMK2A"
"AKAP5","CAMK2B"
"AKAP5","DLG4"
"AKAP5","GRIA1"
"AKAP5","GRIA3"
"AKAP5","PPP3CA"
"AKAP5","PPP3CB"
"AKAP5","PRKAR1B"
"AKAP5","RAPGEF3"
"AKAP5","RAPGEF4"
"AKAP5","RXFP1"
"AKAP5","TRPV1"
"AKAP6","ADCY5"
"AKAP6","AKAP5"
"AKAP6","FKBP1B"
"AKAP6","MAPK7"
"AKAP6","PDE4A"
"AKAP6","PPP3CB"
"AKAP6","RAPGEF3"
"AKAP6","RAPGEF4"
"AKAP6","RPS6KA2"
"AKAP6","RYR1"
"AKAP6","RYR2"
"AKAP8L","PRPF40A"
"AKAP8L","RNF43"
"AKR1A1","ADM2"
"AKR1A1","ALDH1B1"
"AKR1A1","ALDH3A1"
"AKR1A1","ALDH3B1"
"AKR1B1","AKR1B10"
"AKR1B1","ALDH1B1"
"AKR1B1","DHFR"
"AKR1B1","ENO2"
"AKR1B1","FABP5"
"AKR1B1","GLB1"
"AKR1B1","HK1"
"AKR1B1","HK2"
"AKR1B1","HK3"
"AKR1B1","PAH"
"AKR1B1","TH"
"AKR1B10","ALDH1B1"
"AKR1B10","HK1"
"AKR1B15","ENO2"
"AKR1C1","CYP2E1"
"AKR1C1","DHRS9"
"AKR1C2","AKR1C1"
"AKR1C2","DHRS9"
"AKT3","CASP3"
"AKT3","CTNNB1"
"AKT3","GNB2"
"AKT3","GNRH1"
"AKT3","HSP90B1"
"AKT3","LYN"
"AKT3","MAP2K4"
"AKT3","MAPK11"
"AKT3","MTCP1"
"AKT3","NOS1"
"AKT3","NOS3"
"AKT3","OGT"
"AKT3","PDPK1"
"AKT3","PHLPP2"
"AKT3","PIK3CG"
"AKT3","PIK3R5"
"AKT3","PIK3R6"
"AKT3","PRKCZ"
"AKT3","RAC1"
